addr,port,type,login, pass
88.86.72.161,8080,HTTP,admin,admin
105.112.8.53,3128,HTTP
37.32.11.163,1080,SOCKS4
104.244.75.26,8080,HTTP
37.191.78.89,34048,SOCKS4
51.15.76.119,3128,"HTTP, HTTPS"
37.32.10.169,1080,SOCKS4
37.32.10.80,1085,SOCKS4
37.32.23.5,1085,SOCKS4
37.152.190.107,1080,"SOCKS4, SOCKS5"
37.152.162.110,38050,SOCKS4
37.32.11.175,1085,SOCKS4
37.32.12.52,1080,SOCKS4
138.197.5.192,8888,HTTP
37.32.26.81,54086,SOCKS4
37.152.163.126,42717,SOCKS4
37.32.26.152,54086,SOCKS4
37.32.31.198,1085,SOCKS4
171.97.151.173,8080,HTTP
51.158.113.142,8811,HTTP
51.158.108.135,8811,HTTP
51.158.68.26,8811,HTTP
51.158.123.35,8811,HTTP
51.158.111.229,8811,HTTP
51.158.106.54,8811,HTTP
51.158.99.51,8811,HTTP
51.158.119.88,8811,HTTP
51.158.120.84,8811,HTTP
163.172.147.94,8811,HTTP
163.172.136.226,8811,HTTP
37.32.11.152,1085,SOCKS4
37.32.14.47,1080,SOCKS4
37.32.11.143,1085,SOCKS4
5.1.53.46,8080,"HTTP, HTTPS"
51.91.212.159,3128,HTTP
142.93.122.133,8080,HTTP
104.248.88.167,8080,HTTP
194.190.5.174,3128,HTTP
37.32.5.132,1080,SOCKS4
37.32.10.29,1085,SOCKS4
37.32.2.214,1085,SOCKS4
185.151.151.166,3128,HTTP
34.90.113.143,3128,HTTP
188.35.187.93,3128,HTTPS
78.37.27.69,3128,HTTPS
117.103.86.62,4145,SOCKS4
114.34.234.201,3128,HTTPS
177.38.3.112,4145,SOCKS4
190.52.49.51,4145,SOCKS4
190.152.2.122,59320,SOCKS4
170.81.37.16,4145,SOCKS4
173.249.37.78,5002,"SOCKS4, SOCKS5"
207.154.231.213,3128,HTTP
1.0.0.104,80,HTTP
201.184.135.155,4145,SOCKS4
185.120.38.103,4145,SOCKS4
88.255.182.170,8080,HTTP
216.183.40.225,39072,SOCKS4
179.191.245.58,3128,HTTP
43.225.164.59,57416,HTTP
102.68.17.108,1080,SOCKS4
84.15.160.174,4145,SOCKS4
213.6.28.65,8291,SOCKS4
208.67.29.49,52160,SOCKS4
194.5.179.101,8080,HTTP
182.253.204.66,34967,HTTP
138.97.12.150,37198,HTTP
185.94.97.190,808,HTTPS
46.4.96.137,1080,SOCKS5
139.59.99.63,8080,HTTP
188.136.204.221,4145,SOCKS4
185.173.105.238,17476,"HTTP, HTTPS"
188.226.141.61,1080,SOCKS5
138.68.173.29,1080,SOCKS5
139.59.169.246,1080,SOCKS5
178.62.193.19,3128,HTTP
212.175.167.137,80,HTTP
185.110.217.225,4145,SOCKS4
63.246.57.113,46312,HTTP
37.220.195.14,53281,HTTP
77.252.26.71,36311,HTTP
185.46.109.182,4145,SOCKS4
176.102.224.51,4145,SOCKS4
36.67.223.67,57877,HTTP
185.140.59.11,37895,SOCKS4
176.102.224.53,4145,SOCKS4
176.102.224.58,4145,SOCKS4
92.50.52.30,36348,SOCKS4
185.238.44.212,4145,SOCKS4
118.69.50.154,443,HTTP
185.118.155.145,30797,SOCKS4
185.161.38.254,32958,SOCKS4
